Month,Temp Avg,Hum Avg,HI Avg
Jan 2023,27,73,29.10938204
Feb 2023,28,70,30.66646214
March 2023,28,66,30.15388058
April 2023,30,71,35.28189305
May 2023,30,75,36.2996587
June 2023,29,81,34.96037931
July 2023,29,82,35.18260062
August 2023,29,84,35.63664954
September 2023,29,84,35.63664954
October 2023,29,81,34.96037931
November 2023,29,75,33.69429554
December 2023,28,76,31.50012034
January 2024,28,70,30.66646214
February 2024,28,67,30.27878668
March 2024,29,67,32.18550144
April 2024,31,63,35.61650987
May 2024,31,68,37.00613453
June 2024,30,79,37.38510985
July 2024,29,83,35.40802403
August 2024,29,83,35.40802403
September 2024,29,86,36.10350687
October 2024,29,81,34.96037931
November 2024,29,76,33.89730425
December 2024,28,80,32.09908302
January 2025,28,74,31.21359616
February 2025,28,73,31.07357336
March 2025,29,70,32.72728348
April 2025,31,64,35.88394628
May 2025,31,68,37.00613453
June 2025,29,83,35.40802403
July 2025,28,89,33.57308146
August 2025,29,83,35.40802403
September 2025,28,88,33.40066574
October 2025,29,85,35.86847716
November 2025,29,82,35.18260062
December 2025,28,79,31.94610306
January 2026,27,73,29.10938204
February 2026,28,68,30.4058523
March 2026,28,63,29.79211944
